Model,Method,Replicate,RF,FN,FP
1000M1,FastTree (GTR),R14,168.0,0.08425275827482448,0.08425275827482448
1000M1,FastTree (GTR),R14,168.0,0.08425275827482448,0.08425275827482448
1000M1,FastTree (JC),R14,204.0,0.10230692076228685,0.10230692076228685
1000M1,FastTree (JC),R14,204.0,0.10230692076228685,0.10230692076228685
1000M1,NJ (JC),R14,384.0,0.19257773319959878,0.19257773319959878
1000M1,NJ (JC),R14,384.0,0.19257773319959878,0.19257773319959878
1000M1,NJ (LogDet),R14,440.0,0.22066198595787362,0.22066198595787362
1000M1,NJ (LogDet),R14,440.0,0.22066198595787362,0.22066198595787362
1000M1,NJ (p-distance),R14,422.0,0.21163490471414242,0.21163490471414242
1000M1,NJ (p-distance),R14,422.0,0.21163490471414242,0.21163490471414242
1000M1,FastME (BME),R14,394.0,0.19759277833500502,0.19759277833500502
1000M1,FastME (BME),R14,394.0,0.19759277833500502,0.19759277833500502
1000M1,FastTree (GTR),R13,192.0,0.09628886659979939,0.09628886659979939
1000M1,FastTree (GTR),R13,192.0,0.09628886659979939,0.09628886659979939
1000M1,FastTree (JC),R13,254.0,0.12738214643931794,0.12738214643931794
1000M1,FastTree (JC),R13,254.0,0.12738214643931794,0.12738214643931794
1000M1,NJ (JC),R13,410.0,0.20561685055165496,0.20561685055165496
1000M1,NJ (JC),R13,410.0,0.20561685055165496,0.20561685055165496
1000M1,NJ (LogDet),R13,496.0,0.24874623871614845,0.24874623871614845
1000M1,NJ (LogDet),R13,496.0,0.24874623871614845,0.24874623871614845
1000M1,NJ (p-distance),R13,466.0,0.2337011033099298,0.2337011033099298
1000M1,NJ (p-distance),R13,466.0,0.2337011033099298,0.2337011033099298
1000M1,FastME (BME),R13,442.0,0.22166499498495487,0.22166499498495487
1000M1,FastME (BME),R13,442.0,0.22166499498495487,0.22166499498495487
1000M1,FastTree (GTR),R12,219.0,0.10865191146881288,0.11133400200601805
1000M1,FastTree (GTR),R12,219.0,0.10865191146881288,0.11133400200601805
1000M1,FastTree (JC),R12,255.0,0.1267605633802817,0.12938816449348045
1000M1,FastTree (JC),R12,255.0,0.1267605633802817,0.12938816449348045
1000M1,NJ (JC),R12,465.0,0.2323943661971831,0.23470411233701102
1000M1,NJ (JC),R12,465.0,0.2323943661971831,0.23470411233701102
1000M1,NJ (LogDet),R12,517.0,0.25855130784708247,0.26078234704112335
1000M1,NJ (LogDet),R12,517.0,0.25855130784708247,0.26078234704112335
1000M1,NJ (p-distance),R12,481.0,0.24044265593561368,0.242728184553661
1000M1,NJ (p-distance),R12,481.0,0.24044265593561368,0.242728184553661
1000M1,FastME (BME),R12,479.0,0.23943661971830985,0.24172517552657974
1000M1,FastME (BME),R12,479.0,0.23943661971830985,0.24172517552657974
1000M1,FastTree (GTR),R15,181.0,0.08953722334004025,0.09227683049147442
1000M1,FastTree (GTR),R15,181.0,0.08953722334004025,0.09227683049147442
1000M1,FastTree (JC),R15,231.0,0.11468812877263582,0.11735205616850551
1000M1,FastTree (JC),R15,231.0,0.11468812877263582,0.11735205616850551
1000M1,NJ (JC),R15,391.0,0.19517102615694165,0.19759277833500502
1000M1,NJ (JC),R15,391.0,0.19517102615694165,0.19759277833500502
1000M1,NJ (LogDet),R15,427.0,0.21327967806841047,0.2156469408224674
1000M1,NJ (LogDet),R15,427.0,0.21327967806841047,0.2156469408224674
1000M1,NJ (p-distance),R15,435.0,0.21730382293762576,0.21965897693079237
1000M1,NJ (p-distance),R15,435.0,0.21730382293762576,0.21965897693079237
1000M1,FastME (BME),R15,399.0,0.19919517102615694,0.20160481444332998
1000M1,FastME (BME),R15,399.0,0.19919517102615694,0.20160481444332998
1000M1,FastTree (GTR),R7,241.0,0.11895161290322581,0.12337011033099297
