,Model,Method,RF,RF,FN,FN,FP,FP
,,,mean,std,mean,std,mean,std
0,1000M1,FastME (BME),440.5,41.7163805987098,0.21991345404267607,0.020834534607230303,0.2227181544633902,0.0212502850400507
1,1000M1,FastTree (GTR),211.3,31.190235158311477,0.10455381937724935,0.015325239594000553,0.10777331995987964,0.016145817395071604
2,1000M1,FastTree (JC),247.9,37.68955510619041,0.12297426151433757,0.018704222093366116,0.1261283851554664,0.019288918034085195
3,1000M1,NJ (JC),418.8,38.4755666724901,0.20898967688787065,0.019214620548308522,0.21183550651955868,0.019609156998022122
4,1000M1,NJ (LogDet),492.5,44.361568028516736,0.246090824461881,0.022134039471877368,0.24879638916750252,0.022660184791848528
5,1000M1,NJ (p-distance),458.7,41.42475415026934,0.22907221166021036,0.020720207818661237,0.23184553660982948,0.021064475438465173
6,1000M4,FastME (BME),246.25,23.051503093546735,0.11423140282661477,0.012713931173014368,0.13545636910732198,0.011276948398065915
7,1000M4,FastTree (GTR),125.15,14.905772414808004,0.0520905460198793,0.007516196991087692,0.0746815244931582,0.008940961529782989
8,1000M4,FastTree (JC),136.95,16.135563524600254,0.05815292183381637,0.008213738503972215,0.08060018408639573,0.009409735294069283
9,1000M4,NJ (JC),293.15,22.100643916828787,0.13832897952640258,0.012222106031816454,0.15897693079237712,0.010762067426900576
10,1000M4,NJ (LogDet),310.95,20.686859448600554,0.14747782361874157,0.011436904670042877,0.16790371113340022,0.010170049408480635
11,1000M4,NJ (p-distance),356.75,23.516224622860307,0.17100559874823745,0.012850471908251284,0.1908726178535607,0.011398104800606011
