Method,Model,Replicate,Runtime,Memory,Total_Runtime,Total_Memory
compare,fastme,bme,12.069145,1952.0,12.069145,1952.0
compare,fasttree,gtr,12.246182,1936.0,12.246182,1936.0
compare,fasttree,jc,12.242433,1936.0,12.242433,1936.0
compare,hybrid,gtm1,11.961359999999999,1952.0,11.961359999999999,1952.0
compare,hybrid,gtm2,12.067814,1952.0,12.067814,1952.0
compare,hybrid,gtm3,11.986951,1952.0,11.986951,1952.0
compare,nj,jc,11.901934,1936.0,11.901934,1936.0
compare,nj,logdet,11.95242,1936.0,11.95242,1936.0
compare,nj,pdist,11.917952,1952.0,11.917952,1952.0
compare,original,gtm,12.176785,1952.0,12.176785,1952.0
convert,phylip,1000M1,4.857153,2128.0,4.857153,2128.0
convert,phylip,1000M4,4.039429,2048.0,4.039429,2048.0
fastme,bme,1000M1,287.600065,1904.0,287.600065,1904.0
fastme,bme,1000M4,196.170402,1952.0,196.170402,1952.0
fasttree,gtr,1000M1,1083.952621,1904.0,1083.952621,1904.0
fasttree,gtr,1000M4,659.9160919999999,1952.0,659.9160919999999,1952.0
fasttree,jc,1000M1,887.727852,1904.0,887.727852,1904.0
fasttree,jc,1000M4,513.576859,1952.0,513.576859,1952.0
fix,tree,format,3.898949,2096.0,3.898949,2096.0
hybrid,gtm1,convert,35.625132,1952.0,35.625132,1952.0
hybrid,gtm1,decompose,56.794909,1952.0,56.794909,1952.0
hybrid,gtm1,merge,7.529018,1952.0,7.529018,1952.0
hybrid,gtm1,subset,257.263963,1952.0,257.263963,1952.0
hybrid,gtm2,decompose,57.903605,1952.0,57.903605,1952.0
hybrid,gtm2,guide,2127.036676,1952.0,2127.036676,1952.0
hybrid,gtm2,merge,8.167546,1952.0,8.167546,1952.0
hybrid,gtm2,subset,1285.226841,1952.0,1285.226841,1952.0
hybrid,gtm3,convert,35.296426,1920.0,35.296426,1920.0
hybrid,gtm3,decompose,54.367051000000004,1920.0,54.367051000000004,1920.0
hybrid,gtm3,merge,6.118295,1936.0,6.118295,1936.0
hybrid,gtm3,subset,256.816637,1920.0,256.816637,1920.0
nj,jc,1000M1,308.444621,1872.0,308.444621,1872.0
nj,jc,1000M4,216.089923,1952.0,216.089923,1952.0
nj,logdet,1000M1,800.727076,1904.0,800.727076,1904.0
nj,logdet,1000M4,576.739824,1952.0,576.739824,1952.0
nj,pdist,1000M1,999.7143699999999,1904.0,999.7143699999999,1904.0
nj,pdist,1000M4,216.165515,1952.0,216.165515,1952.0
original,gtm,decompose,56.440589,1952.0,56.440589,1952.0
original,gtm,guide,2649.647817,1952.0,2649.647817,1952.0
original,gtm,merge,8.356772,1936.0,8.356772,1936.0
original,gtm,subset,2270.073146,1952.0,2270.073146,1952.0
